name,simbol,market_cap,price,circulating_supply,volume,one_hour,one_day,one_week
Swipe,SXP,72145534,1.18,61135911.166,15000309,0.322657,9.17235,-32.0003
Quant,QNT,72034281,5.97,12072738.0,10058594,0.148866,1.02219,-0.78456
FTX Token,FTT,71707338,1.36,52826544.9328,1818552,0.244347,-2.14881,-3.31535
Komodo,KMD,70027965,0.599578,116795335.059,3120020,0.323536,2.64272,6.70129
MCO,MCO,66369618,4.2,15793831.095,3890998,-0.463489,-1.85363,1.67843
Aeternity,AE,63183908,0.21822,289542379.5,44844409,-0.419166,-3.61808,-3.6941
Verge,XVG,61382544,0.003829,16030074299.1,2809113,0.212176,-0.60596,2.02984
Chiliz,CHZ,60129009,0.01623,3704769183.0,16457040,-0.915846,17.6734,58.8758
MaidSafeCoin,MAID,59590536,0.131677,452552412.0,191871,0.166066,0.314854,-6.30073
Ardor,ARDR,56724843,0.056782,998999495.0,3358302,-0.63582,2.48305,4.7606
Nexo,NEXO,55228968,0.098623,560000011.0,9549012,2.5565,4.31794,0.83811
iExec RLC,RLC,54913872,0.685817,80070793.2388,987530,-0.418025,1.36504,34.5424
Steem,STEEM,53480324,0.152876,349828878.659,475604,-0.0485074,-0.714624,10.5377
Energi,NRG,53231354,2.4,22193904.26,436691,-3.45351,-2.58139,-14.6904
Zilliqa,ZIL,52298466,0.00602,8687360058.09,6350583,0.283888,-1.26678,4.70625
RIF Token,RIF,51508471,0.103142,499395823.196,33940200,0.174688,-0.262279,-4.00319
Enjin Coin,ENJ,51064862,0.065083,784614641.564,82025020,-0.00278634,-1.19646,1.65826
Seele,SEELE,50537050,0.072542,696655691.662,23002187,0.0919985,3.10593,22.1616
aelf,ELF,48972960,0.089944,544480199.986,10707648,0.118947,-4.11464,-5.10565
Aurora,AOA,48921730,0.007478,6542330148.21,1836966,-1.73286,0.200464,7.84089
Status,SNT,47564802,0.013706,3470483788.0,188204574,-0.164267,-3.8354,6.77033
Crypterium,CRPT,46517434,0.548634,84787740.0,194174,-0.880375,-3.61004,-12.9378
Golem,GNT,45238358,0.046159,980050000.0,4150434,-0.146964,0.0259441,0.897535
Pundi X,NPXS,44236608,0.000189,234162000776.0,1574453,-0.612886,-0.143871,5.28095
Ren,REN,43133410,0.053883,800503651.321,1432923,-0.263192,-1.90982,1.74033
Newton,NEW,42931454,0.003593,11948333332.0,4124635,0.0899046,-0.315408,-2.55282
Lambda,LAMB,42887243,0.056018,765601457.95,111007404,-1.0739,-1.95171,65.8082
Zcoin,XZC,42561761,4.88,8729293.32978,6015942,0.42742,-0.797863,-3.4864
ILCoin,ILC,42097491,0.130443,322727482.176,899192,0.352262,51.2141,112.081
SOLVE,SOLVE,41036573,0.125332,327423172.424,370272,0.0174337,-0.556194,1.1272
Molecular Future,MOF,40539610,0.977281,41482044.2014,43983672,-0.372505,-8.19217,26.4265
Nash Exchange,NEX,40262858,1.11,36196678.0,2071600,-0.15176,-7.9258,-12.9764
Metaverse ETP,ETP,37781291,0.491276,76904422.8058,6351942,0.704012,-2.12985,24.0003
Horizen,ZEN,37021997,4.82,7684362.5,1554088,-1.63647,-1.83551,-0.657872
ODEM,ODE,36512970,0.158504,230360098.304,306748,3.0354,14.6344,31.6582
Electroneum,ETN,36188688,0.003666,9872101362.49,112413,-0.0364535,-1.92927,-3.29906
Thunder Token,TT,35438401,0.012212,2901919605.0,3990874,-0.180281,-2.92821,68.1376
STASIS EURO,EURS,35300538,1.1,31979207.0,429369,0.0593831,0.493208,-0.411953
WINk,WIN,35284494,0.00018,196500113934.0,3061995,-1.20642,-6.30942,18.1798
GXChain,GXC,34248842,0.526905,65000000.0,12813997,0.128874,-2.99287,-11.2904
Bread,BRD,34126353,0.384592,88733977.693,1598140,-0.0965854,9.40976,13.6053
XMax,XMX,33905141,0.001901,17838751231.3,219862316,0.25233,-2.51808,-13.494
DxChain Token,DX,33266225,0.000665,49999999999.7,1781511,0.790917,1.64441,17.2753
Stratis,STRAT,33126703,0.332765,99549987.17,439747,0.306405,1.01035,2.96182
Decentraland,MANA,32905118,0.031334,1050141509.43,3442928,0.0910574,-0.363293,-1.73392
Waltonchain,WTC,32387837,0.757323,42766207.4107,2853228,0.115227,1.8749,1.77611
Matic Network,MATIC,32169907,0.013493,2384224035.0,8569416,0.0465196,-0.825872,-4.6611
Elastos,ELA,32085626,2.0,16063886.6118,2005255,-4.59989,-5.56055,-11.4444
Digitex Futures,DGTX,32004861,0.041028,780074548.587,1072970,0.0810396,-1.45818,-3.00506
Nebulas,NAS,31660081,0.609403,51952589.0,10266384,-0.0476012,-0.595144,-9.1668
Noah Coin,NOAH,31648427,0.000968,32687957977.6,2368,2.23974,-3.08785,234.038
Dentacoin,DCN,31624240,5.9e-05,540365602593.0,67893,0.231351,18.6588,-5.18979
TomoChain,TOMO,31420742,0.482356,65140125.0,45916250,-0.181701,14.9116,57.6105
Project Pai,PAI,30961370,0.021343,1450669362.0,618112,-0.0303031,-1.87551,-9.97045
NULS,NULS,30935232,0.419344,73770500.159,3962669,0.367434,-4.47445,12.029
BitCapitalVendor,BCV,30492410,0.034215,891199994.51,1644865,-0.121904,-1.69994,1.81166
Loopring,LRC,29928058,0.032745,913965089.06,3530574,-0.177551,-2.09792,-3.9147
Kyber Network,KNC,29829767,0.176524,168983944.601,3772211,-0.0588248,-1.80495,-2.34781
Beam,BEAM,29258328,0.683682,42795200.0,37158522,1.05397,7.69286,18.5201
Aion,AION,29249613,0.080633,362749958.0,1005220,-12.0505,-7.26199,10.4169
Civic,CVC,29155697,0.043516,670000000.0,2211349,0.064524,2.56583,1.80425
Tierion,TNT,28538033,0.066603,428481269.499,553513,-0.616392,-0.363453,-3.49877
Ignis,IGNIS,27861223,0.036604,761143950.0,6102911,1.12875,15.8601,49.6873
Populous,PPT,27635832,0.518961,53252245.9944,516078,-0.0431423,-1.57359,-10.4011
Revain,R,27274497,0.0563,484450000.0,789445,0.147088,19.5584,22.3901
TrueChain,TRUE,26868223,0.337644,79575542.96,21792715,0.632194,3.25359,5.48773
ReddCoin,RDD,26567229,0.000922,28808713173.8,29297,3.42321,6.93065,-7.84272
Dragon Coins,DRG,26212562,0.075181,348657474.018,85265,0.112427,20.6794,22.3648
Grin,GRIN,26174025,1.04,25138740.0,28953005,-0.057156,1.55113,4.47524
DigixDAO,DGD,26070207,13.04,2000000.0,878570,0.734378,-5.16441,5.42115
WaykiChain,WICC,25882016,0.136942,189000000.0,698949,0.804316,-0.27465,-11.3754
Ark,ARK,25156547,0.217252,115794510.0,3485304,-0.093564,7.32013,10.736
Fetch.ai,FET,24223913,0.039975,605973630.716,6443609,-0.440001,2.95035,0.680378
Gatechain Token,GT,23910963,0.603815,39599822.7928,2240154,0.316173,-1.40055,5.12851
Hedera Hashgraph,HBAR,23782744,0.035073,678092908.0,2619630,0.514337,1.87691,14.4139
Aragon,ANT,23771080,0.79768,29800256.0002,168317,0.237262,8.68519,0.80448
Wanchain,WAN,23657641,0.222865,106152492.636,1721744,0.00912333,-1.00938,-3.73034
Factom,FCT,23532601,2.39,9834027.15,18359,-0.34166,-4.86956,-7.04776
YOU COIN,YOU,23225088,0.056006,414689465.224,6756059,-0.0101471,3.62557,5.05979
Ripio Credit ...,RCN,23126852,0.045415,509235326.761,3617150,0.700184,1.10705,20.6922
Nexus,NXS,22940990,0.354729,64671957.1424,493674,-1.4554,-3.03473,18.3657
Loom Network,LOOM,22793858,0.023511,969506641.027,2539323,-0.00516784,-0.312671,7.29027
Enigma,ENG,22656475,0.302748,74836171.09,2359266,0.332193,4.29119,3.31814
WAX,WAXP,22279958,0.026612,837205646.0,254237,-0.335283,-1.15698,2.85408
QASH,QASH,21889929,0.062543,350000000.0,139534,-0.455216,-0.483241,-2.13726
EDC Blockchain,EDC,21540705,0.008066,2670646025.0,1122021,-0.143428,-0.126331,-0.389222
Fantom,FTM,21457476,0.011831,1813658595.34,2871330,-0.762271,-0.641225,0.553027
Orbs,ORBS,21201305,0.010901,1944893861.05,4844450,1.53592,1.23906,3.93755
FunFair,FUN,21144289,0.003229,6548879188.66,188476,0.0897755,0.558975,-7.18628
Metal,MTL,21074851,0.401549,52483821.167,9481576,1.3814,-4.22889,27.5417
BHPCoin,BHP,20895776,1.07,19556434.58,29345690,0.537144,0.177231,-1.96495
LINA,LINA,20787747,0.075611,274931591.749,1120146,-2.91138,-16.6983,-4.72386
Power Ledger,POWR,20644500,0.049004,421281867.385,1163841,0.140113,0.483949,8.07567
Hyperion,HYN,20361569,0.06428,316765917.406,458078,0.185565,-6.93996,2.21326
Storj,STORJ,20140955,0.148327,135787438.7,7622082,-0.274539,5.15759,7.76838
Bancor,BNT,19990142,0.318653,62733186.846,2232095,-0.0635987,-1.0663,-3.74804
IoTeX,IOTX,19599608,0.004526,4330000000.0,2218849,5.00648,3.6551,5.41635
Dent,DENT,19259247,0.000254,75875838994.0,192563,0.0348583,-0.778923,2.19227
Matrix AI Net...,MAN,18611533,0.097267,191345706.519,543127,4.20208,-0.498972,11.9056
UNI COIN,UNI,18594870,1.44,12908061.1641,5816,0.0884223,0.406996,0.825257
Santiment Net...,SAN,17865359,0.285114,62660370.957,4020,0.293158,-1.79132,-7.73208
Robotina,ROX,17546011,0.057763,303758412.044,96985,-0.0291783,0.564905,0.681106
Gnosis,GNO,17544628,15.88,1104590.0,25154,0.100811,-1.33373,-0.12531
Binance USD,BUSD,17481997,1.01,17366542.5145,5959697,0.0578924,0.512866,0.977563
BitKan,KAN,17475887,0.002863,6104786944.51,498257,-0.194892,1.20891,1.42272
Groestlcoin,GRS,17452757,0.236729,73724758.8874,1452265,0.451281,3.4613,12.2123
Vertcoin,VTC,17229731,0.331634,51954122.0,6124427,0.200007,40.0072,52.6412
Streamit Coin,STREAM,16967913,2.78,6110669.47782,695609,-0.0155424,1.04708,-2.34922
Bibox Token,BIX,16751180,0.15628,107187126.0,2617193,0.0107328,-3.9028,-0.872533
Eidoo,EDO,16701736,0.321504,51948709.0563,290638,0.680779,-0.12341,9.45343
Wirex Token,WXT,16680299,0.015164,1100000000.48,4990397,-0.308025,7.31305,12.5562
Egretia,EGT,16190369,0.003838,4218275850.34,21165194,1.89389,20.9531,95.2761
Gas,GAS,15952354,1.58,10128375.1058,1031788,0.248235,-3.4813,2.7999
CyberMiles,CMT,15891999,0.019865,800000000.0,3759857,-0.808903,-2.35119,4.68948
Cocos-BCX,COCOS,15715663,0.001,15715214795.0,4525995,1.36377,5.58733,-0.963999
MediBloc [ERC20],MEDX,15688386,0.004568,3434635926.21,187928,-0.0268456,0.00522252,45.0525
Aladdin,ADN,15677152,0.000489,32068180434.9,5048887,0.171477,-0.69791,-5.407
Wagerr,WGR,15538911,0.082819,187625839.749,20626,0.160508,-0.893656,4.28548
Arcblock,ABT,15479968,0.15707,98554305.4403,2123375,-0.508022,-3.8208,-6.84793
Divi,DIVI,15240641,0.011451,1330980532.05,103235,2.8906,-2.61672,-0.997464
Aave,LEND,15197634,0.013469,1128357876.85,2729041,-0.681643,14.0752,5.15907
Fusion,FSN,15047142,0.426086,35314807.279,2483410,1.53734,-10.7002,26.6118
Telcoin,TEL,15038384,0.000383,39274075121.0,184389,0.184814,-4.6048,-6.46504
Constellation,DAG,15021986,0.017298,868412606.864,2604921,1.28774,-3.35356,31.1486
Syscoin,SYS,14866553,0.026117,569220980.6,1006311,0.74591,-1.32141,8.24519
Credits,CS,14848761,0.07984,185980873.724,2820979,-3.46429,-7.3489,-12.4387
Diamond Platf...,DPT,14821308,12.81,1156578.42422,28774,-0.516885,0.619719,-1.53174
NKN,NKN,14759821,0.031628,466666666.0,13090331,-1.01254,18.9412,12.1182
Celer Network,CELR,14689945,0.004333,3389877674.85,5082615,0.25423,0.227803,5.38314
RealTract,RET,14589786,0.001376,10600000000.0,37043,-0.0125571,6.26451,30.9419
Harmony,ONE,14491232,0.005577,2598573955.29,2376908,0.810905,1.89748,9.30025
INO COIN,INO,350708672,1.95,180003180.0,4633,0.0983617,-1.46955,-1.98555
PRIZM,PZM,320167260,0.755346,423868598.63,280004,-0.127901,1.62614,46.5382
Insight Chain,INB,259240532,0.740893,349902689.082,23357152,0.324322,0.865232,-7.23058
MEXC Token,MEXC,189678813,0.207275,915105792.218,207314,0.0059267,-1.23945,-66.2742
ThoreNext,THX,180226580,8.32,21652254.0,165690,-0.0537553,-1.34269,-6.98989
ThoreCoin,THR,151106874,1743.15,86686.0215,192048,-0.0537553,-1.24503,-3.98402
Oasis City,OSC,123502440,0.051449,2400484608.0,,-1.42109e-14,-5.68434e-14,-1.98952e-13
Cryptonex,CNX,113629869,2.04,55686328.9619,3752162,0.209501,-1.19908,-3.99752
Silverway,SLV,102687899,1.03,100000000.0,4522536,-0.782342,-8.72037,14.5508
Mixin,XIN,85920446,185.73,462605.000645,69518004,0.0765479,0.399312,4.22458
Dimension Chain,EON,84374912,0.344692,244783561.0,4910913,-0.178188,0.555257,8.83256
Bitbook Gambling,BXK,73146010,0.198557,368387491.4,828414,-1.21114,-1.34801,-3.47404
Beldex,BDX,71667883,0.073114,980222595.0,66582,-0.0498397,-1.66846,-3.18316
OKB,OKB,62651307,3.13,20000000.0,77377352,0.00575305,-4.8186,4.70157
GAPS,GAP,60828482,6.08,10000000.0,5776174,0.0119336,-2.41139,-11.4714
Flexacoin,FXC,59132932,0.002786,21223945749.0,16520,-2.37872,0.304671,4.73514
Clipper Coin,CCCX,51784815,0.013698,3780571396.48,,2.84217e-14,-5.68434e-14,-1.13687e-13
MineBee,MB,50574639,0.027635,1830117455.22,641365,1.40953,-1.76516,0.814045
BitForex Token,BF,49139542,0.011563,4249539422.11,2476278,0.097449,-0.799057,-16.748
Breezecoin,BRZE,42047267,0.420473,100000000.0,48411,-0.0535492,2.14974,-0.319756
Huobi Pool Token,HPT,41350582,0.008146,5076332935.72,1742782,0.271329,-2.40987,12.333
Dynamic Tradi...,DTR,39725028,0.026119,1520940097.0,146566,0.327109,-10.9655,-23.9734
MX Token,MX,39226851,0.176733,221954841.28,8228201,0.193606,1.65722,-8.09746
NEXT,NET,39167375,0.967291,40491818.4442,608679,0.680282,2.73487,-3.26604
Veritaseum,VERI,37875037,17.62,2149646.44,13221,-0.291117,-1.16672,-2.98714
Buggyra Coin ...,BCZERO,37709772,0.018754,2010775988.46,25597,0.000469851,4.683,-0.784638
Wixlar,WIX,37596801,0.015718,2391997688.0,9475,-0.640008,-1.67606,4.98898
CryptoVerific...,CVCC,37534037,64.43,582595.49469,18453,-0.0504794,-1.23274,1.33992
VestChain,VEST,35557442,0.005023,7078400000.0,148814,-14.4585,2.64778,8.25075
Bit-Z Token,BZ,33500774,0.255481,131128390.7,13245454,-0.313841,-0.176024,-4.47664
1irstcoin,FST,32966979,0.970536,33967798.828,169649,1.5703,3.16775,2.46903
PLATINCOIN,PLC,31946984,6.39,5001073.0,9104618,0.0534476,-0.698417,-11.5405
Jewel,JWL,31424281,0.574379,54710035.0,578025,-0.147181,-2.53538,-0.997242
botXcoin,BOTX,31331865,0.019202,1631733770.0,560311,0.176879,0.394444,8.49987
Bankera,BNK,29409375,0.001195,24608912107.7,4955,-0.04363,-0.888726,-3.59587
LATOKEN,LA,28221533,0.074247,380104462.0,3456667,1.05068,-0.441108,2.98444
BitcoinHD,BHD,27830148,5.38,5170596.35,15184652,0.0908438,-8.48208,-12.4356
AgaveCoin,AGVC,27815970,0.07121,390619593.0,9001,0.941067,-0.852604,-3.904
FABRK,FAB,27808458,0.0058,4794443396.56,202882,-4.96986,4.18265,3.63739
USDK,USDK,27770036,0.970978,28600072.0,14702320,0.0534077,-1.82622,0.829152
Qubitica,QBIT,26754559,33.08,808674.9028,115284,0.107087,-1.1655,-1.74222
BQT,BQTX,25360287,0.066268,382694157.819,1281723,1.96865,0.588666,-2.76608
Atlas Protocol,ATP,24767928,0.009615,2576065702.77,1889963,-0.0347915,-8.44727,4.1115
BHEX Token,BHT,23569785,0.044355,531386849.91,1804328,0.804373,-5.34296,3.55121
General Atten...,XAC,23100693,2.31,10000000.0,1892,-0.10838,-1.14404,-3.45264
Ecoreal Estate,ECOREAL,22536352,0.107871,208918852.132,2546,-0.0669007,-0.164856,0.481189
Envion,EVN,21608856,0.181275,119204515.562,1449,1.22544,-0.650009,-10.2629
Maximine Coin,MXM,20667200,0.012533,1649000000.0,60972,4.09273,7.61266,-71.65
Tratin,TRAT,20203910,0.00018,112002966735.0,,3.31333,4.20224,-7.81923
GNY,GNY,19680537,0.104474,188376657.0,28563,-0.0498397,-1.42444,2.72316
Telos,TLOS,19611842,0.087016,225381331.018,193226,-4.67546,-3.6707,-20.1778
MOAC,MOAC,19127052,0.306212,62463333.6042,14006,0.215977,-3.56223,18.3013
Ultiledger,ULT,18802221,0.029269,642382861.787,5188461,0.0123278,3.4888,13.9279
MicroBitcoin,MBC,18706064,9.9e-05,188777000000.0,6987,0.259787,-2.20921,-10.6648
Carry,CRE,17781468,0.006159,2887304413.65,3195745,2.21399,-1.46509,58.0246
BTU Protocol,BTU,17390705,0.248404,70009847.6669,4071,0.00798803,-1.1663,-6.51776
Apollo Currency,APL,17273214,0.001176,14685096531.0,826767,0.809082,4.49703,5.60844
ETERNAL TOKEN,XET,16984960,0.181716,93470000.0,524951,5.18084,-4.12806,-54.3453
Vitae,VITAE,16973994,0.950871,17851001.8408,26620,0.00665085,2.09699,12.1577
Obyte,GBYTE,16898961,23.4,722058.207551,5293,0.206704,-3.56204,-3.68435
Spectre.ai Di...,SXDT,16139226,0.196644,82073518.6244,,-0.665395,-15.0189,-21.4828
GreenPower,GRN,15563973,0.004816,3231699360.01,56860,-1.48313,-2.75968,-13.9571
UnlimitedIP,UIP,14515809,0.011743,1236152839.94,15467889,0.0048362,-2.9054,17.1009
Cred,LBA,14446959,0.023955,603080177.018,24697783,0.159015,12.897,72.5845
TTC,TTC,14419496,0.039569,364415311.006,1641044,-0.849447,0.0710339,5.47096
Moeda Loyalty...,MDA,14295847,0.728307,19628888.0,874722,0.127129,-1.24425,-8.46695
ZrCoin,ZRC,14106998,3.08,4578602.0,37302,0.700646,-4.92388,16.617
Cindicator,CND,13919877,0.007785,1788148959.15,220795,-1.74656,1.10568,3.8873
PIVX,PIVX,13864609,0.244176,56781165.9921,1584530,0.00783911,-2.03558,3.51167
Loki,LOKI,13723558,0.313482,43777844.0,6829,0.293409,-3.49259,-1.72099
Nxt,NXT,13679600,0.013693,998999941.508,521028,0.274185,2.45678,5.81839
Elrond,ERD,13640294,0.001967,6933256184.39,4642756,5.91252,9.47864,27.4608
Function X,FX,13620704,0.116839,116576922.98,10312480,-0.084108,-5.10659,-19.6626
Safe,SAFE,13365433,0.641474,20835499.35,103262,-0.830207,-1.06261,5.5885
Theta Fuel,TFUEL,13335069,0.003474,3838301572.0,168395,-0.0309914,-0.729564,3.99842
PlayChip,PLA,12827228,0.000916,14009105692.8,,-0.00392937,-6.43035,1.08732
QuarkChain,QKC,12709909,0.005208,2440377844.69,5691394,0.270828,-2.93596,4.92036
FIBOS,FO,12338539,0.011667,1057555432.11,177123,-0.181981,-2.67333,3.28333
CryptoFranc,XCHF,12277977,1.02,12035000.0,984,0.325166,1.50701,0.75762
Polymath,POLY,12155194,0.027523,441632216.016,2870933,-0.0272011,-1.70052,8.95017
EOS Force,EOSC,12074070,0.012524,964070125.0,141920,0.143976,0.519886,34.5004
Elitium,EUM,12042444,1.25,9655990.47751,192074,-2.32211,-6.11631,-1.15197
Cortex,CTXC,11982140,0.079992,149792458.0,1958423,-0.0496066,-9.21031,-2.05265
IRISnet,IRIS,11934848,0.026691,447148689.237,28585024,0.351434,0.75557,34.3151
Ocean Protocol,OCEAN,11755979,0.034543,340324452.82,10754710,2.04619,2.09296,49.6158
SingularityNET,AGI,11730725,0.021737,539673260.161,151489,-0.350952,-1.54394,-1.35863
GoWithMi,GMAT,11675987,0.004287,2723550000.0,282083,0.181371,1.14876,12.2389
OTOCASH,OTO,11527451,0.540792,21315863.5929,17839,-0.879651,-1.31525,0.0788567
TenX,PAY,11275909,0.083551,134958403.005,2062104,0.489738,0.549961,14.5351
Tael,WABI,11154765,0.170302,65499999.3382,699950,-0.476445,-1.16352,15.3347
Litecoin Cash,LCC,11134346,0.017153,649103832.209,107418,0.208266,-0.189601,-1.534
NewYork Exchange,NYE,11118588,3.48,3191503.49044,804181,0.0760128,-1.50642,-25.6436
IoT Chain,ITC,11116033,0.133183,83464658.4756,2121595,-0.43072,-6.14124,-9.94145
Request,REQ,11046763,0.014077,784749076.848,59064,-0.443664,-1.07623,2.52672
BnkToTheFuture,BFT,10957460,0.01501,729989999.325,373518,-0.0422016,-1.77086,-10.4542
Unobtanium,UNO,10961046,54.48,201209.331519,2338,0.188082,-19.5695,-25.4363
United Trader...,UTT,10890989,0.290357,37508998.7999,,0.0613416,-0.293702,-4.65806
Davinci Coin,DAC,10788457,0.002995,3601858619.8,63407,0.560537,-2.70631,5.53747
Quantum Resis...,QRL,10743271,0.154575,69501825.1529,420636,9.70389,4.49575,7.61349
Skycoin,SKY,10705809,0.669113,16000000.0,149405,0.827539,-0.071169,5.50575
Particl,PART,10672084,1.32,8069480.0,42198,-2.89468,11.002,15.5291
FNB Protocol,FNB,10665650,0.016848,633043416.565,1841041,-0.897839,-3.85549,7.95767
CasinoCoin,CSC,10629692,0.00027,39420037230.3,14561,0.48831,-2.71619,-0.192924
Everipedia,IQ,10588520,0.001991,5319224414.57,522372,0.578182,-0.363472,5.69311
